Message,Category
"Please submit the assignment by tomorrow",Academic
"The exam schedule has been announced",Academic
"Can you share the lecture notes",Academic
"The lab report is due next week",Academic
"Let's discuss the project requirements",Academic
"The teacher uploaded study materials",Academic
"Please attend the extra class today",Academic
"Have you completed the coding assignment",Academic
"Meet me at the cafeteria after class",Personal
"Happy birthday and enjoy your day",Personal
"Let's go for a movie this weekend",Personal
"Can you call me in the evening",Personal
"I am going to visit my grandparents",Personal
"Let's play cricket after college",Personal
"Don't forget the dinner tonight",Personal
